Reference, Quantity, Value, Footprint, Digikey Part Number, Manufacturer_Name, Manufacturer_Part_Number, URL
R34 R33 R45 R44 R43 R42 ,6,100k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,311-100KCRCT-ND,Yageo,RC0805FR-07100KL,https://www.digikey.com/product-detail/en/yageo/RC0805FR-07100KL/311-100KCRCT-ND/730491
R5 R6 R35 ,3,10k,Resistor_SMD:R_0805_2012Metric,311-10KARCT-ND,Yageo,RC0805JR-0710KL,https://www.digikey.com/product-detail/en/yageo/RC0805JR-0710KL/311-10KARCT-ND/731188
R50 ,1,0R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,311-0.0ARCT-ND,Yageo,RC0805JR-070RL,https://www.digikey.com.au/product-detail/en/yageo/RC0805JR-070RL/311-0.0ARCT-ND/731163
R52 R51 R13 R20 R21 R22 R14 ,7,470R,Resistor_SMD:R_0805_2012Metric,P470CCT-ND,Panasonic,ERJ-6ENF4700V,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF4700V/P470CCT-ND/1746871
R54 ,1,120R,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,311-120CRCT-ND,Yageo,RC0805FR-07120RL,https://www.digikey.com/products/en?keywords=311-120CRCT-ND
R69 R16 R7 R10 R4 R2 R8 R1 R3 R9 R53 R68 R67 R66 R62 R63 R64 R65 R19 R49 R48 R60 R61 ,23,1k,Resistor_SMD:R_0805_2012Metric,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL,https://www.digikey.com/product-detail/en/yageo/RC0805FR-071KL/311-1.00KCRCT-ND/730391
SW2 SW1 SW3 SW5,4,SW_DPDT_x2,Misc:AYZ0202AGRLC,401-2013-1-ND,C & K COMPONENTS,AYZ0202AGRLC,https://www.digikey.com.au/product-detail/en/c-k/AYZ0202AGRLC/401-2013-1-ND/1640122
SW4 ,1,SW_DIP_x02,Button_Switch_SMD:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W8.61mm_P2.54mm,679-3566-1-ND,APEM Inc.,IKN0204000,https://www.digikey.com.au/product-detail/en/apem-inc/IKN0204000/679-3566-1-ND/4384369
U1 ,2,Teensy3.5,Shields:Teensy35_36-main-pins-only,S7022-ND,Sullins,PPTC241LFBN-RC,https://www.digikey.com.au/product-detail/en/sullins-connector-solutions/PPTC241LFBN-RC/S7022-ND/810162
U1,1,Teensy3.5,Shields:Teensy35_36-main-pins-only,S6103-ND,Sullins,PPTC051LFBN-RC,https://www.digikey.com.au/en/products/detail/sullins-connector-solutions/PPTC051LFBN-RC/807239
U10 ,1,SP720,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,F3162CT-ND,Littelfuse,SP720ABTG,https://www.digikey.com/product-detail/en/littelfuse-inc/SP720ABTG/F3162CT-ND/1984458
U12 U7 U3 U8 U4 ,5,TC4424A,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,TC4424AVOA-ND,Microchip,TC4424AVOA,https://www.digikey.com/product-detail/en/microchip-technology/TC4424AVOA/TC4424AVOA-ND/1098908
U13 U20 ,2,LMV324LIDT,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,497-13052-1-ND,STMicroelectronics,LMV324LIDT,https://www.digikey.com.au/product-detail/en/stmicroelectronics/LMV324LIDT/497-13052-1-ND/3458219
U14 ,1,W25Q32JVSS,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,W25Q32JVSSIQCT-ND,Winbond Electronics,W25Q32JVSSIQ,https://www.digikey.com.au/product-detail/en/winbond-electronics/W25Q32JVSSIQ-TR/W25Q32JVSSIQCT-ND/7393546
U18 ,1,KP234,Misc:KP234,448-KP234XTMA1CT-ND,Infineon,KP234XTMA1,https://www.digikey.com.au/product-detail/en/infineon-technologies/KP234XTMA1/448-KP234XTMA1CT-ND/12718428
U19 ,1,MCP2562-E-SN,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,MCP2562-E/SN-ND,Microchip Technology,MCP2562-E/SN,https://www.digikey.com.au/products/en?keywords=MCP2562-E-SN
U2 ,1,MC33814,Package_QFP:LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm_ThermalVias,,NXP,MC33814AE,http://au.element14.com/nxp/mc33814ae/ic-control-1-cylinder-engine-48lqfp/dp/2311285
U5 U6 ,2,MC33810,IC_Automotive:SOIC32-P0.65-33N,,NXP,MCZ33810EK,Customer Supplied
