Ref,Val,Package,PosX,PosY,Rot,Side
"IC3","ZXMS6006DT8","Diodes_SM8",192.684400,-75.692000,180.000000,top
"IC4","ZXMS6006DT8","Diodes_SM8",239.268000,-90.932000,0.000000,top
"IC5","ZXMS6006DT8","Diodes_SM8",239.141000,-108.402000,0.000000,top
"J1","Delphi_Sicma_24","Delphi_Sicma_24_Grey",158.496000,-100.330000,-90.000000,top
"J2","Delphi_Sicma_24","Delphi_Sicma_24_Black",158.496000,-46.990000,-90.000000,top
"J3","EBC05DRXN","EBC05DRXN",233.172000,-44.196000,90.000000,top
"Q2","Q_DUAL_NMOS_S1G1D2S2G2D1","SOT-363_SC-70-6",215.000000,-58.500000,0.000000,top
"Q3","Q_DUAL_NMOS_S1G1D2S2G2D1","SOT-363_SC-70-6",257.323062,-62.103000,180.000000,top
"R1","470R","R_0805_2012Metric",268.351000,-41.529000,0.000000,top
"R3","0R","R_0805_2012Metric",177.800000,-47.394000,0.000000,top
"R4","120R","R_0805_2012Metric",177.800000,-45.339000,0.000000,top
"R5","1k","R_0805_2012Metric",221.500000,-58.500000,0.000000,top
"R6","1k","R_0805_2012Metric",221.500000,-61.000000,180.000000,top
"R7","10k","R_1206_3216Metric",203.200000,-50.800000,-90.000000,top
"R8","10k","R_1206_3216Metric",201.803000,-57.785000,0.000000,top
"R9","10k","R_1206_3216Metric",201.803000,-55.372000,0.000000,top
"R10","10k","R_1206_3216Metric",207.518000,-50.927000,-90.000000,top
"R11","1k","R_0805_2012Metric",178.181000,-112.268000,180.000000,top
"R12","1k","R_0805_2012Metric",178.181000,-108.849000,180.000000,top
"R13","1k","R_0805_2012Metric",178.181000,-97.500000,180.000000,top
"R14","1k","R_0805_2012Metric",178.181000,-93.500000,180.000000,top
"R15","1k","R_0805_2012Metric",192.024000,-108.839000,180.000000,top
"R16","1k","R_0805_2012Metric",192.024000,-93.472000,180.000000,top
"R17","1k","R_0805_2012Metric",192.024000,-104.849000,180.000000,top
"R18","1k","R_0805_2012Metric",192.024000,-89.500000,180.000000,top
"R19","10k","R_0805_2012Metric",201.000000,-110.500000,-90.000000,top
"R20","10k","R_0805_2012Metric",201.000000,-93.500000,-90.000000,top
"R21","1k","R_0805_2012Metric",192.024000,-97.536000,0.000000,top
"R22","1k","R_0805_2012Metric",192.000000,-112.268000,0.000000,top
"R23","1k","R_0805_2012Metric",192.024000,-101.349000,0.000000,top
"R24","1k","R_0805_2012Metric",192.024000,-86.000000,0.000000,top
"R25","1k","R_0805_2012Metric",178.181000,-104.849000,180.000000,top
"R26","1k","R_0805_2012Metric",178.181000,-101.349000,180.000000,top
"R27","1k","R_0805_2012Metric",178.181000,-89.500000,180.000000,top
"R28","1k","R_0805_2012Metric",178.181000,-85.979000,180.000000,top
"R29","604R","R_0805_2012Metric",244.172500,-58.992000,180.000000,top
"R30","3.88k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",241.832000,-67.818000,0.000000,top
"R31","470R","R_0805_2012Metric",251.729994,-49.500000,0.000000,top
"R32","2.4k","R_0805_2012Metric",250.365500,-57.023000,180.000000,top
"R33","470R","R_0805_2012Metric",223.012000,-40.894000,-90.000000,top
"R34","470R","R_0805_2012Metric",241.300000,-61.468000,90.000000,top
"R35","1k","R_0805_2012Metric",250.365500,-61.023000,0.000000,top
"R36","2.49k","R_0805_2012Metric",190.246000,-29.083000,0.000000,top
"R37","2.49k","R_0805_2012Metric",195.500000,-29.500000,0.000000,top
"R38","470R","R_0805_2012Metric",190.246000,-33.147000,180.000000,top
"R39","470R","R_0805_2012Metric",195.500000,-31.500000,180.000000,top
"R40","180k","R_0805_2012Metric",240.714000,-42.125000,180.000000,top
"R41","180k","R_0805_2012Metric",251.729994,-43.500000,0.000000,top
"R42","348k","R_0805_2012Metric",240.714000,-40.125000,0.000000,top
"R43","348k","R_0805_2012Metric",251.729994,-45.500000,180.000000,top
"R44","470R","R_0805_2012Metric",251.729994,-35.500000,180.000000,top
"R45","180k","R_0805_2012Metric",240.688500,-46.125000,180.000000,top
"R46","180k","R_0805_2012Metric",251.729994,-39.500000,0.000000,top
"R47","348k","R_0805_2012Metric",240.688500,-44.125000,0.000000,top
"R48","348k","R_0805_2012Metric",251.729994,-41.500000,180.000000,top
"R49","1k","R_0805_2012Metric",265.684000,-64.643000,-90.000000,top
"R50","180k","R_0805_2012Metric",257.937000,-31.242000,180.000000,top
