Reference, Quantity, Value, Footprint, Datasheet, Manufacturer_Name, Manufacturer_Part_Number, URL, Digikey Part Number, Part #, Tolerance, Voltage, Allied_Number, Description, RS Part Number, RS Price/Stock, Height
R22 ,1,"3.9k","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805FR-073K9L","https://www.digikey.com/product-detail/en/yageo/RC0805FR-073K9L/311-3.90KCRCT-ND/730785","311-3.90KCRCT-ND","","","","","","","",""
R26 R23 R30 R31 R32 R24 R66 R65 R55 R54 ,10,"470R","Resistor_SMD:R_0805_2012Metric","~","Panasonic","ERJ-6ENF4700V","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF4700V/P470CCT-ND/1746871","P470CCT-ND","ERJ-6ENF4700V","","","","","","",""
R27 R28 R52 ,3,"2.49k","Resistor_SMD:R_0805_2012Metric","~","Yageo","RT0805BRD072K49L","https://www.digikey.com/product-detail/en/yageo/RT0805BRD072K49L/YAG1854CT-ND/5139302","YAG1854CT-ND","","","","","","","",""
R35 R36 ,2,"220R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","Yageo","RC0805FR-07220RL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07220RL/311-220CRCT-ND/730688","311-220CRCT-ND","","","","","","","",""
R37 R46 ,2,"10k","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805JR-0710KL","https://www.digikey.com/product-detail/en/yageo/RC0805JR-0710KL/311-10KARCT-ND/731188","311-10KARCT-ND","","","","","","","",""
R38 ,1,"120R","Resistor_SMD:R_0805_2012Metric","~","Yageo","RC0805FR-07120RL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07120RL/311-120CRCT-ND/730522","311-120CRCT-ND","","","","","","","",""
R43 ,1,"2k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","Yageo","RC0805FR-072KL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-072KL/311-2.00KCRCT-ND/730611","311-2.00KCRCT-ND","","","","","","","",""
R5 R6 R17 R18 R7 R8 R58 R59 R21 R29 R33 R34 R39 R40 R48 R49 R44 R45 R53 R64 ,20,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","Yageo","RC0805FR-071KL","https://www.digikey.com/product-detail/en/yageo/RC0805FR-071KL/311-1.00KCRCT-ND/730391","311-1.00KCRCT-ND","","","","","","","",""
RV1 ,1,"Varistor","Varistor:RV_Disc_D15.5mm_W4.7mm_P7.5mm","~","Bourns Inc","MOV-14D220K","https://www.digikey.com.au/product-detail/en/bourns-inc/MOV-14D220K/MOV-14D220K-ND/2799109","MOV-14D220K-ND","","","","","","","",""
S1 ,1,"AYZ0202AGRLC","AYZ0202AGRLC","","C & K COMPONENTS","AYZ0202AGRLC","https://www.digikey.com.au/product-detail/en/c-k/AYZ0202AGRLC/401-2013-1-ND/1640122","401-2013-1-ND","","","","70417470","AYZ0202AGRLC (Slide Switches)","7931504P","http://uk.rs-online.com/web/p/products/7931504P",""
U1 ,1,"MC33814","Package_QFP:LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm_ThermalVias","","NCP","MC33814","http://au.element14.com/nxp/mc33814ae/ic-control-1-cylinder-engine-48lqfp/dp/2311285","","","","","","","","",""
U2 U4 U7 U9 ,4,"VNLD5090","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://www.st.com/resource/en/datasheet/vnld5090-e.pdf","STMicro","VNLD5090-E","https://mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyVNLD5090-E","497-18682-ND","","","","","","","",""
U3 U10 ,2,"TC4424A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Microchip","TC4424AVOA","https://www.digikey.com/product-detail/en/microchip-technology/TC4424AVOA/TC4424AVOA-ND/1098908","TC4424AVOA-ND","","","","","","","",""
U5 ,1,"MPX4250","Misc:MPX4250","","NXP","MPX4250AP","https://www.digikey.com.au/product-detail/en/nxp-usa-inc/MPX4250AP/MPX4250AP-ND/464053","MPX4250AP-ND","","","","","","","",""
U6 ,1,"SP720","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://m.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp720_datasheet.pdf.pdf","Littelfuse","SP720ABTG","https://www.digikey.com/product-detail/en/littelfuse-inc/SP720ABTG/F3162CT-ND/1984458","F3162CT-ND","","","","","","","",""
U8 ,1,"VN5160S-E","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://www.st.com/resource/en/datasheet/vn5160s-e.pdf","STMicro","VN5160S-E","https://www.digikey.com.au/products/en?keywords=VN5160S-E","497-19720-ND","","","","","","","",""
XA1 ,1,"Arduino_Mega2560_Shield","Shields:Arduino_Mega2560_Shield_IO_Only",""
